# Selection   : patch(inlet)
# Faces       : 376
# Area        : 3.835388e-01
# Time        	areaAverage(p)	areaAverage(U)
335           	6.066026e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
336           	6.058542e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
337           	6.058849e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
338           	6.058231e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
339           	6.058024e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
340           	6.057349e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
341           	6.057191e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
342           	6.056070e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
343           	6.056037e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
344           	6.055586e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
345           	6.055091e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
346           	6.054946e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
347           	6.053015e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
348           	6.052648e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
349           	6.045128e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
350           	6.044873e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
351           	6.044517e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
352           	6.040449e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
353           	6.040151e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
354           	6.039273e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
355           	6.033244e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
356           	6.033011e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
357           	6.032017e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
358           	6.031871e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
